source,translation
Ground Slam,グラウンドスラム
Table Charge,テーブルチャージ
Shield Charge,シールドチャージ
Rallying Cry,ラリイングクライ
Leap Slam,リープスラム
Molten Crash,モルテンクラッシュ
Double Strike,ダブルストライク
Dual Strike,デュアルストライク
Whirling Blades,ワーリングブレード
Frenzy,フレンジー
Caustic Arrow,コースティックアロー
Vaal Caustic Arrow,ヴァールコースティックアロー
Backstab,バックスタッブ
Detonate Dead,デトネートデッド
Vaal Detonate Dead,ヴァールデトネートデッド
Flicker Strike,フリッカーストライク
Vaal Flicker Strike,ヴァールフリッカーストライク
Blood Rage,ブラッドレイジ
Split Arrow,スプリットアロー
Vaal Split Arrow,ヴァールスプリットアロー
Cold Snap,コールドスナップ
Vaal Cold Snap,ヴァールコールドスナップ
Ice Nova,アイスノヴァ
Firebolt,ファイヤーボルト
Vaal Fireball,ヴァールファイヤーボール
Valako's Charge,ヴァラコズチャージ
Arc,アーク
Vaal Arc,ヴァールアーク
Raise Zombie,ゾンビ蘇生
Righteous Fire,ライチャスファイヤー
Vaal Righteous Fire,ヴァールライチャスファイヤー
Basic Attack,基本アタック
Cobra Lash,コブララッシュ
Spark,スパーク
Vaal Spark,ヴァールスパーク
Ice Spear,アイススピア
Spectre: {0},スペクター: {0}
Infernal Blow,インファーナルブロウ
Glacial Hammer,グレイシャルハンマー
Frost Wall,フロストウォール
Freezing Pulse,フリージングパルス
Viper Strike,ヴァイパーストライク
Explosive Arrow,エクスプローシブアロー
Temporal Chains,テンポラルチェーン
Elemental Weakness,エレメンタルウィークネス
Enfeeble,エンフィーブル
Sniper's Mark,スナイパーの呪印
Vulnerability,ヴァルネラビリティ
Inevitable Agony,インエビタブルアゴニー
Lightning Warp,ライトニングワープ
His Vile Intrusion,ヒズヴァイルイントリュージョン
Summon Skeletons,スケルトン召喚
Armour Breaker,アーマーブレイカー
Dominating Blow,ドミネイティングブロウ
Rain of Arrows,レインオブアロー
Vaal Rain of Arrows,ヴァールレインオブアロー
Firestorm,ファイヤーストーム
Vaal Firestorm,ヴァールファイヤーストーム
Icestorm,アイスストーム
Tempest Shield,テンペストシールド
Molten Shell,モルテンシェル
Vaal Molten Shell,ヴァールモルテンシェル
Power Siphon,パワーサイフォン
Puncture,パンクチャー
Lightning Arrow,ライトニングアロー
Vaal Lightning Arrow,ヴァールライトニングアロー
Haste,ヘイスト
Purity of Elements,ピュリティオブエレメンツ
Vitality,バイタリティ
Discipline,ディシプリン
Precision,プレシジョン
Grace,グレース
Determination,デターミネーション
Anger,アンガー
Hatred,ヘイトレッド
Wrath,ラース
Burning Arrow,バーニングアロー
Vaal Burning Arrow,ヴァールバーニングアロー
Clarity,クラリティ
