source,translation
Blacksmith's Whetstone,鍛冶屋の砥石
Arcanist's Etcher,秘術師の彫刻針
Scroll of Wisdom,鑑定の巻物
Chaos Orb,カオスオーブ
Greater Chaos Orb,カオスオーブ (上級)
Perfect Chaos Orb,カオスオーブ (完全)
Armourer's Scrap,鎧鍛冶の端材
Mirror of Kalandra,カランドラの鏡
Hinekora's Lock,ヒネコラの髪束
Orb of Alchemy,錬金術のオーブ
Orb of Chance,可能性のオーブ
Orb of Regret,後悔のオーブ
Orb of Unmaking,解除のオーブ
Orb of Transmutation,変成のオーブ
Greater Orb of Transmutation,変成のオーブ (上級)
Perfect Orb of Transmutation,変成のオーブ (完全)
Orb of Alteration,改変のオーブ
Orb of Scouring,洗浄のオーブ
Exalted Orb,高貴なオーブ
Greater Exalted Orb,高貴なオーブ (上級)
Perfect Exalted Orb,高貴なオーブ (完全)
Regal Orb,王者のオーブ
Greater Regal Orb,王者のオーブ (上級)
Perfect Regal Orb,王者のオーブ (完全)
Orb of Augmentation,増強のオーブ
Greater Orb of Augmentation,増強のオーブ (上級)
Perfect Orb of Augmentation,増強のオーブ (完全)
Portal Scroll,ポータルの巻物
Glassblower's Bauble,ガラス吹きの飾り玉
Gemcutter's Prism,宝石細工師のプリズム
Chromatic Orb,色彩のオーブ
Orb of Fusing,結合のオーブ
Lesser Jeweller's Orb,宝飾職人のオーブ (見習い)
Greater Jeweller's Orb,宝飾職人のオーブ (上級)
Perfect Jeweller's Orb,宝飾職人のオーブ (完全)
Artificer's Orb,熟練工のオーブ
Divine Orb,神のオーブ
Blessed Orb,祝福のオーブ
Sacred Orb,聖なるオーブ
Cartographer's Chisel,地図職人のチセル
Scroll Fragment,巻物の断片
Transmutation Shard,変成のシャード
Alteration Shard,改変のシャード
Alchemy Shard,錬金術のシャード
Chance Shard,可能性のシャード
Albino Rhoa Feather,アルビノロアの羽根
Golden Vulture Feather,ゴールデンヴァルチャーの羽根
Rainbow Toucan Feather,レインボートゥーカンの羽根
Jade Kiwi Feather,ジェイドキーウィの羽根
Stygian Peacock Feather,スティギアンピーコックの羽根
Eternal Orb,永遠のオーブ
Imprint,インプリント
Vaal Orb,ヴァールオーブ
Corrupt,コラプト
Architect's Orb,アーキテクトオーブ
Crystallised Corruption,コラプトの結晶
Core Destabiliser,コア不安定化装置
Ancient Infuser,古代のインフューザー
Vaal Cultivation Orb,ヴァール培養のオーブ
Yaomac's Orb of Sacrifice,ヤオマックの生贄のオーブ
Kopec's Orb of Sacrifice,コペックの生贄のオーブ
Kamasa's Orb of Sacrifice,カマサの生贄のオーブ
Yugul's Orb of Sacrifice,ユグルの生贄のオーブ
Vaal Armourer's Infuser,ヴァール鎧鍛冶のインフューザー
Vaal Blacksmith's Infuser,ヴァール鍛冶屋のインフューザー
Vaal Arcanist's Infuser,ヴァールアルカニストのインフューザー
Vaal Catalysing Infuser,ヴァールカタリストのインフューザー
Orb of Extraction,抽出のオーブ
Vaal Siphoner,ヴァールサイフォナー
Perandus Coin,ペランダスのコイン
Silver Coin,銀のコイン
Prophecy,予言
Bestiary Orb,怪獣のオーブ
Imprinted Bestiary Orb,刻印された怪獣のオーブ
Surveyor's Compass,測量技師のコンパス
Charged Compass,充填されたコンパス
Prime Regrading Lens,一級再評価のレンズ
Secondary Regrading Lens,二級再評価のレンズ
Tempering Orb,焼き戻しのオーブ
Tailoring Orb,仕立てのオーブ
Lesser Essence of the Body,肉体のレッサーエッセンス
Lesser Essence of the Mind,精神のレッサーエッセンス
Lesser Essence of Enhancement,強化のレッサーエッセンス
Lesser Essence of Abrasion,擦傷のレッサーエッセンス
Lesser Essence of Flames,火炎のレッサーエッセンス
Lesser Essence of Ice,氷のレッサーエッセンス
Lesser Essence of Electricity,電気のレッサーエッセンス
Lesser Essence of Ruin,破滅のレッサーエッセンス
Lesser Essence of Battle,戦闘のレッサーエッセンス
Lesser Essence of Sorcery,魔法のレッサーエッセンス
Lesser Essence of Haste,迅速のレッサーエッセンス
Lesser Essence of the Infinite,無限のレッサーエッセンス
Essence of the Body,肉体のエッセンス
Essence of the Mind,精神のエッセンス
Essence of Enhancement,強化のエッセンス
Essence of Abrasion,擦傷のエッセンス
Essence of Flames,火炎のエッセンス
Essence of Ice,氷晶のエッセンス
Essence of Electricity,電気のエッセンス
Essence of Ruin,破滅のエッセンス
Essence of Battle,戦闘のエッセンス
Essence of Sorcery,魔法のエッセンス
Essence of Haste,迅速のエッセンス
Essence of the Infinite,無限のエッセンス
Greater Essence of the Body,肉体のグレーターエッセンス
Greater Essence of the Mind,精神のグレーターエッセンス
Greater Essence of Enhancement,強化のグレーターエッセンス
Greater Essence of Abrasion,擦傷のグレーターエッセンス
