Cospri's Malice,コスプリの悪意
Ahkeli's Meadow,アケリの牧草地
Ahkeli's Mountain,アケリの山
Ahkeli's Valley,アケリの谷
Ashes of the Stars,星々の灰
Ashes of the Sun,太陽の灰
Andvarius,アンドヴァリアス
Angler's Plait,釣り人の三つ編み
Araku Tiki,アラク・ティキ
Ascent From Flesh,肉体からの昇天
Astramentis,アストラメンティス
Atziri's Foible,アツィリの愚行
Aul's Uprising,アウルの蜂起
Auxium,オーキシウム
Badge of the Brotherhood,兄弟団の記章
Bated Breath,息をのむ
Belt of the Deceiver,欺瞞者のベルト
Berek's Grip,ベレクの掌握
Berek's Pass,ベレクの通路
Berek's Respite,ベレクの休息
Bisco's Collar,ビスコの首飾り
Bisco's Leash,ビスコの鎖
Blackheart,ブラックハート
Blightwell,ブライトウェル
Bloodboil,ブラッドボイル
Bloodgrip,ブラッドグリップ
Blood of Corruption,汚染の血
Brinerot Mark,塩水腐敗の印
Call of the Brotherhood,兄弟の証
Carnage Heart,カーネイジ・ハート
Choir of the Storm,嵐の合唱
Circle of Anguish,苦悶の円環
Circle of Fear,恐怖の円環
Circle of Guilt,罪の輪
Circle of Nostalgia,郷愁の円環
Circle of Regret,後悔の円環
Coward's Chains,臆病者の鎖
Coward's Legacy,臆病者の遺産
Cyclopean Coil,単眼のコイル
Daresso's Salute,ダレッソの敬礼
Darkness Enthroned,即位した闇
Death Rush,死の激発
Demigod's Bounty,デミゴッドの恩恵
Demigod's Eye,半神の目
Demigod's Presence,半神の存在
Doedre's Damning,ドードゥリの糾弾
Doryani's Invitation,ドリヤニの招待
Dream Fragments,夢の断片
Dyadian Dawn,ディアディアン・ドーン
Emberwake,燃え盛る目覚め
Essence Worm,エッセンスワーム
Extractor Mentis,エクストラクター・メンティス
Eye of Chayula,チャユラの目
Eye of Innocence,無垢の目
Eyes of the Greatwolf,グレートウルフの目
Faminebind,飢饉の絆
Feastbind,饗宴の絆
Gifts from Above,天の恩恵
Gloomfang,グルームファング
Gluttony,強欲
Hallowed Ground,聖なる地
Headhunter,ヘッドハンター
Heartbound Loop,ハートバウンド・ループ
Hinekora's Sight,ヒネコラの視界
Hyperboreus,ヒュペルボレウス
Hyrri's Truth,ヒリの真実
Icefang Orbit,アイスファングの軌道
Immortal Flesh,不死の肉体
Impresence,インプレゼンス
Impossible Escape,不可能な脱出
Kaom's Sign,カオムの印
Kaom's Way,カオムの道
Karui Charge,カルーイチャージ
Karui Ward,カルーイの護符
Kikazaru,キカザル
Le Heup of All,すべてのル・ヒュープ
Lori's Lantern,ロリのランタン
Malachai's Artifice,マラカイの策略
Maligaro's Cruelty,マリガロのクルーエルティ
Maligaro's Restraint,マリガロの拘束
Mark of Submission,服従の印
Mark of the Elder,エルダーの印
Mark of the Shaper,シェイパーの印
Marylene's Fallacy,マリレーンの誤謬
Meginord's Girdle,メギノルドのベルト
Ming's Heart,ミンの心臓
Mokou's Embrace,モコウの抱擁
Mutewind Seal,無風の封印
Natural Hierarchy,自然な階層
Ngamahu's Sign,ナマフの印
Ngamahu Tiki,ンガマフ・ティキ
Night's Hold,夜の掌握
Perandus Blazon,ペランダスの紋章
Perandus Signet,ペランダス・シグネット
Perquil's Toe,パーキルのつま先
Perseverance,忍耐
Praxis,プラクシス
Precursor's Emblem,先駆者の紋章
Presence of Chayula,チャウラの存在
Prismweave,プリズムウィーブ
Putembo's Meadow,プテンボの牧草地
Putembo's Mountain,プテンボの山
