source,translation
Forged from thousands of unclaimed Beta keys,幾千もの未使用ベータキーから造られた
"One by one, Kaom slaughtered the weakest tribe
leaders until the others leapt to join his cause.",残った者たちが慌てて彼の側に付くまで、カオムは最も弱い族長から一人ずつ殺していった。
"As battle calms, blood turns to rust.",戦いが静まる中で血は錆となる。
"You are slow, foolish and ignorant.
I am not.","其方は愚鈍で愚かで無知だ。
私は違う。"
Fear is highly infectious.,恐怖は強い感染力を持つ。
"A token from the sea
A sign for Kaom
to lead his Karui to Wraeclast.","海の贈り物
カオムの印
彼のカルイをレイクラストに導くための。"
Danger is the price of wealth.,危険は富の代償だ。
"""See without doubt, slay without hesitation.""
- Marceus Lioneye of Sarn","「疑いなく見よ、躊躇いなく殺せ」
―サーンのマルセウス・ライオンアイ"
"The maidens of court swoon to see
the challengers crushed at your feet.","其方に倒された挑戦者
宮廷の乙女達は茫然だ"
"Although a great leader during the war,
Voll proved disastrous in times of peace.","戦時には偉大なる指導者であった一方で、
ヴォールは平時には破滅的だった。"
"Divine intervention feels better
when you do it yourself.","神格による介入は
自分でやったほうが気分がいい。"
"""The wild takes care of its own.""
- Hyrri of the Karui","「自然は自らの面倒を見る」
―カルイのハイリ"
"In the rift between future and past,
life passes quickly.","未来と過去の狭間では、
生命は瞬く間に過ぎ去っていく。"
"It was a sliver of Malachai's soul
that animated the first Eternal Guardian.","最初のエターナルガーディアンを動かしたのは
マラカイの魂の欠片だった。"
"Centuries of servitude, a day
of glory, an eternity of death.",何世紀もの隷属、一日の栄光、永遠の死。
"The mournful music of the strings,
The creaking arch, the arrow sings.
A choking cry, a rattled breath,
The Reaper's Song, the Harp of Death.","悲しげな音が糸を伝う
弧は軋み、矢は歌う
咽た叫び、喘鳴の音
死神の歌、死の竪琴"
"Burn to cinders, scar and maim,
Rule a world, bathed in flame.","灰燼と帰し、傷つけ壊し、
炎に包まれし世界を統治。"
"""The crack of bone, the spray of blood.
Is there sweeter music?""
- Hrimnor of the Ezomytes.","「骨の粉砕、血の飛沫。
これより心地よい音楽があろうか？」
―エゾマイトのフリムナー"
"""One quick tap is all the persuasion you'll need.""
- Archbishop Geofri of Phrecia Cathedral","「軽く叩いてやる以上の説得は必要ない」
―フレシア大聖堂の大司教ジェフリ"
"""Today, clansmen, my sword is my voice!""
- Rigwald, at the Battle of Glarryn","「氏族の者達よ、今日、我が剣は我が声である！」
―リグワルド、グラリンの戦いにて"
"Stoic visage, icy heart.
Life of sorrow, lived apart.","顔は平静、心は冷静。
離れて暮らした悲しき生。"
"Where her mouth should have been
there was only a whirling, black void.","彼女の口のあるべき場所にあったのは
黒く渦巻く虚無のみだった。"
"""Prototype #8 makes it difficult to think negatively, but two fatalities
resulted when a lead researcher used an epithet in its presence.""",「プロトタイプ8号は否定的な思考を抑制するが、主任研究員がその前で暴言を吐いた時、二件の死亡事故が発生した」
"Doryani stumbled into a realm of madness
And awoke its Master.","ドリヤニは狂気の領域に迷い込み、
その主を目覚めさせた。"
"Molten feathers, veiled spark,
Hissing arrows from the dark.","熔けた羽毛、隠れた火花
闇の中から飛翔する矢。"
"Seeing only foot soldiers, the Sarn Knights cast aside
their heavy shields... and paid dearly for their mistake.","敵は歩兵のみだとサーンの騎士たちは盾を捨て...
その過ちの大きな代償を支払った。"
The breath of life is yours to give.,生命の息吹は其方が与えよ。
"""Shoot first, ask no questions.""
- Karui wisdom","「まずは射て、質問はいらぬ」
―カルイの知恵"
"""In testing, Prototype #9 had no effect on fired arrows. However,
an unknown spell did destroy the entire firing chamber.""","「実験ではプロトタイプ9号は発射された矢に影響はなかった。
一方で、知られざる呪文が射出室ごと破壊していた」"
"Never blinking, always watching.

<default>{This item can be transformed with a Blessing of Chayula}","決して瞬かず、常に見つめて。

<default>{このアイテムはチャユラの祝福によって変化させることができる}"
"Hyrri loosed a barrage of arrows,
tipped with a poisoned hatred
only oppression can ferment.","ハイリは矢の雨を降らせ、
その先端には弾圧のみが育める
憎しみの毒が塗られていた。"
"The warrior who
fears will fall.","恐れる戦士は
倒れるだろう。"
"""Useless for our purposes, but perhaps we can sell Prototype #5
to an archmage to fund other experiments.""","「我々の目的に有用ではあるが、プロトタイプ5号は他の実験の資金とするため
大魔道師に売却しても良いかもしれぬ」"
"Fairgraves' trusty tricorne accompanied him far across
the seas, deep under the ground, and even beyond death.","フェアグレーヴズの頼りになる三角帽は海の向こうで、
深い地中で、そして死すらも越えて彼と共にあった。"
"Give of your heated passions.
Give of your cold resolve.
You will be repaid.","其方の熱情を与え給え。
其方の冷徹さを与え給え。
其方は報われるだろう。"
"Lift it lightly, don it slow.
The spikes point out and in, you know.","そっと持ち上げ、ゆっくり着用
棘は内外に向いているだろう？"
"Asenath's mind was as quick and nimble
as the fingers that drew her bowstring.","アセナスの頭脳は弓の弦を引く指と
同じくらい機敏で軽快だった。"
"""It takes true strength to hold power,
and my grip grows tighter by the day.""
 - Emperor Chitus","「権力を握るには真の力が必要だ。
我が掌握は日ごとに強まっていく」
―皇帝チタス"
"Hrimnor's presence was as cold as ice,
but his heart burned for vengeance.","フリムナーの周囲は氷のようだったが、
彼の心は復讐に燃えていた。"
"We wander to pass time.
We travel to fulfill.","我らは暇つぶしに彷徨う。
我らは満たすために旅をする。"
"""The craven mind is sharp with self interest.
The honourable mind is much easier to manipulate.""
 - Malachai the Soulless","「卑怯な心は私利に聡い。
誇り高き心はずっと操りやすい」
―魂無きマラカイ"
"In the battle for honour, Geofri won.
Not so, the battle for survival.","名誉のための戦いでは、ジェフリが勝利した。
生存のための戦いでは、そうならなかった。"
"It is said to make you invisible when the Great
Spirit comes to take you on your final journey.","大いなる精霊が最後の旅に導くためにやってくる時、
其方の姿を隠してくれると言われている。"
Wonders abound at death's door.,死の淵は不思議でいっぱいだ。
"A mighty beast, a lavish feast.",強大な獣、豪華な食べ物。
"Stand and lead the righteous pride,
Fight till death, never hide.","立って群れを導き給え。
隠れず死ぬまで戦い給え。"
"""Twelve dead, and the seventh lab cannot be entered for several years.
Prototype #12 is a 'success,' if we can ever reach it.""","「十二人が死亡し、七番実験室は数年間入ることもできない。
プロトタイプ12号は『成功』だよ、そこまで辿り着けたらな」"
"Tempest's power given form,
Flee before the walking storm.","形を得た暴風の力
逃げよ、歩く嵐から。"
All the world is my home.,世界全てが我が故郷だ。
"Shavronne raced to Brutus' side,
her last hope against the Karui tide.","シャヴロンはブルータスの元へ急いだ
カルイの波への最後の希望だ。"
"Blazing body, shining bold.
Dance beneath the orb of gold!","光り輝く炎の肢体。
光球の下で踊りなさい！"
"The mocking wind, a shielding spell,
The haunting screams, a maddening hell.","嘲る風、護りの秘法、
恐ろしき叫び、狂わせる地獄。"
"Of ancient giants, none remain,
Their only trace is timeless pain.","古代の巨人は滅びて久しい
唯一の痕跡は悠久の痛み。"
"Maligaro operated effortlessly,
with great speed and terrible consequences.","マリガロは軽々と行動した。
迅速に、そして恐ろしい結果を残して。"
"A soft caress in dead of night,
that slips about the neck, so tight.","真夜中の優しき抱擁、
きつく首周りを覆う。"
Wealth is not to be borne lightly.,富とは軽々しく持つべきものではない。
Wealth unspent is wealth wasted.,富を使わぬことは富の無駄遣いだ。
"While Doedre lacked Maligaro's sense of style,
she surpassed her master in pure malevolence.","ドードゥリはマリガロの品格を持たなかった一方で、
純粋な邪悪さという点では師を凌駕した。"
"A single lightning strike fells a man.
A single knife stroke fells an empire.","一本の落雷は人を殺す。
一本のナイフは帝国を滅ぼす。"
"Why cling to your sanity? It offers you nothing.
Surrender to me, and I will grant you everything.","何故正気にしがみつく？それはお前に何も与えない。
我に平伏せば全てを与えよう。"
The light that reveals is the glare that blinds.,明かす輝きは盲ます光だ。
"Mindless rage will shake the world,
Cunning lies will bend it.
Reckless haste will break the world,
And into darkness send it.","無思慮な怒りで世界は揺らぎ、
嘘にて歪むだろう。
無謀な焦りは世界を壊し、
闇へと送るだろう。"
"They say a lifetime of wisdom is carried
in every skin the great beasts shed.","大いなる獣が脱ぎ捨てた皮には
一生涯分の知恵が残されているという。"
"Few men cast a longer shadow
 than the Great Meginord of the North.","北の大いなるメギノルドより
長い影を持つ者は少ない。"
"A large enough debt turns even a friend
into an enemy, and the Perandus family
had more debtors than anyone.","十分に大きな借りは友人さえも敵に変えてしまう。
ペランダス家は誰よりも多くに貸している。"
"Kaom's strength was rivaled only by
the great Meginord of the north.","カオムの力に匹敵するのは
北の大いなるメギノルドのみだった。"
"By tourney's end, Daresso bled and shivered.
Yet even accursed treachery failed to steal the champion's victory.","大会が終わる頃にはダレッソは血を流し震えていた。
しかし呪われし裏切りさえも覇者の勝利を奪うことはできなかった。"
"The Vaal emptied their slaves of beating hearts,
and left a mountain of twitching dead.",ヴァールは脈打つ奴隷の心臓を奪い、のたうつ死者の山を残していった。
"Cold, miserable and alone... but alive.",寒く、惨めで、孤独...だが生きている。
"""With piety and justice.""
- Perandus family motto","「信心と正義を持って」
―ペランダス家の家訓"
"Marceus' unblemished shield is a testament
to his arrogance... and his fate.","マルセウスのしみ一つない盾は彼の傲慢さ...
そして彼の結末の証明である。"
"Accept your fate, or lie, pretend.
Death collects you in the end.","運命を受け入れようが、騙し、騙ろうが
最後には死に収穫されるのだ。"
