Hotfooted,ホットフット
Hypnotic Eye Jewel,催眠の眼のジュエル
Murderous Eye Jewel,凶暴な眼のジュエル
Searching Eye Jewel,探索する眼のジュエル
Ghastly Eye Jewel,恐怖の眼のジュエル
Viridian Jewel,ビリジアンジュエル
Cobalt Jewel,コバルトジュエル
Prismatic Jewel,プリズマティックジュエル
Crimson Jewel,クリムゾンジュエル
Timeless Jewel,タイムレスジュエル
Medium Cluster Jewel,クラスタージュエル (中)
Small Cluster Jewel,クラスタージュエル (小)
Large Cluster Jewel,クラスタージュエル (大)
Brawn,ブローン
Inertia,イナーシャ
Vampire's Might,ヴァンパイアの力
Survival Skills,サバイバルスキル
Inspired Learning,インスパイアードラーニング
Martial Artistry,武芸の技術
Spire of Stone,石の尖塔
Mantra of Flames,炎のマントラ
Combustibles,可燃物
The Naming Temporary,ザ・ネーミング・テンポラリー
Fragile Bloom,脆い開花
Rain of Splinters,レイン・オブ・スプリンター
Efficient Training,効率的な訓練
Atziri's Reign,アジリの支配
Blood Sacrifice,血の犠牲
Warlord's Reach,ウォーロードのリーチ
Conqueror's Efficiency,征服者の効率
Ancient Waystones,古代のウェイストーン
Zerphi's Youth,ゼルフィの若さ
Fragility,脆さ
Fireborn,炎生まれ
Energised Armour,エナジャイズドアマー
Might in All Forms,あらゆる形態の力
Izaro's Turmoil,イザロの混乱
The Vigil,監視者
Rapid Expansion,急速な拡大
Shattered Chains,砕かれた鎖
Weight of the Empire,帝国の重み
Emperor's Might,皇帝の力
Grand Spectrum,グランド・スペクトラム
Coated Shrapnel,コーテッド・シュラプネル
Underdog's Fury,アンダードッグの怒り
Primordial Might,原始の力
The Red Dream,赤き夢
The Red Nightmare,赤き悪夢
Winter Burial,冬の埋葬
Wildfire,発火伝染
Overwhelming Odds,圧倒的な劣勢
Might of the Meek,弱者の力
Tempered Flesh,鍛えられた肉体
Combat Focus,戦闘集中
Transcendent Flesh,超越的な肉体
Thread of Hope,希望の糸
Split Personality,分裂した個性
Replica Conqueror's Efficiency,レプリカ征服者の効率
Replica Fragile Bloom,レプリカ脆き脆き開花
Replica Blood Sacrifice,レプリカ血の犠牲
Replica Primordial Might,レプリカ原始の力
Dissolution of the Flesh,肉体の溶解
Forbidden Flame,禁断の炎
Divine Inferno,神聖なる炎
Firesong,炎の歌
Immutable Force,不変の力
Fluid Motion,流動的な動き
Intuitive Leap,直感的な跳躍
Lioneye's Fall,ライオネの落下
Survival Instincts,生存本能
Cannibalistic Habits,共食いの習慣
Apparitions,幻影
Hotheaded,燃え上がる怒り
Weight of Sin,罪の重み
Specialised,特化した
Miser of Misery,悲惨の吝嗇家
Careful Planning,注意深い計画
Hidden Potential,隠された可能性
Sacrificial Harvest,犠牲の収穫
Self-Flagellation,自己鞭打ち
Poacher's Aim,密猟者の狙い
Conqueror's Longevity,征服者の長寿
Chill of Corruption,腐敗の冷気
Hungry Abyss,飢えたアビス
Pacifism,パシフィズム
Pugilist,拳闘士
Cold Steel,コールド・スティール
Static Electricity,静電気
Volley Fire,散弾射撃
Spirit Guards,スピリットガード
Pitch Darkness,漆黒
Steel Spirit,スティールスピリット
Growing Agony,成長する苦痛
Cheap Construction,安価な建設
Hair Trigger,ヘアトリガー
Emperor's Cunning,皇帝の狡猾
Primordial Eminence,原初の卓越
The Green Dream,緑の夢
The Green Nightmare,緑の悪夢
Sudden Ignition,突然の発火
Ring of Blades,ブレードの輪
Fight for Survival,生き残りをかけた戦い
Omen on the Winds,風の兆し
Might and Influence,力と影響力
Collateral Damage,副次的損害
Choking Ash,窒息する灰
Straight and True,真っ直ぐで真実
Pure Talent,純粋な才能
